ScientificName,NuContAvailable,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,DryMatter%_M-FF,DryMatter%_NAS,DryMatter%_F&L,AvDryMatter%
Poa sp.,"N,P,K",Forage,ton,2000,70.7,2,0.31,1.97,"2,000",,29.3,,29.3
Poa sp.,"N,P,K",Forage,ton,2000,10.3,1.76,0.27,1.72,"2,000",,89.7,,89.7
Poa sp.,N,Forage,ton,2000,11.1,1.68,#DIV/0!,#DIV/0!,"2,000",,88.9,,88.9
Poa pratensis,"N,P,K",Forage,ton,2000,70.47,2.603302428,0.396821192,1.967880795,"2,000",30.2,29,29.4,29.53
Poa pratensis,"N,P,K",Forage,ton,2000,65.07,2.656,0.37,2.01,"2,000",,34.8,35,34.93
Poa pratensis,"N,P,K",Forage,ton,2000,65.35,2.115384615,0.282362637,2.005494506,"2,000",36.4,32.9,,34.65
Poa pratensis,N,Forage,ton,2000,66.6,1.285,#DIV/0!,#DIV/0!,"2,000",,41.8,,33.4
Poa pratensis,"N,P,K",Forage,ton,2000,69.38,2.298424242,0.31,1.99,"2,000",33,31.7,32.8,30.63
Poa pratensis,"N,P,K",Forage,ton,2000,10.95,1.602331096,0.283003356,1.922002237,"2,000",89.4,88.9,88.9,89.05
Poa pratensis,N,Forage,ton,2000,10,1.952,#DIV/0!,#DIV/0!,"2,000",,,,90
Poa pratensis,"N,P,K",Forage,ton,2000,7.9,1.424,0.27,1.52,"2,000",,92.1,,92.1
Poa pratensis,"N,P,K",Forage,ton,2000,11.86,1.006403666,0.229773769,1.698825888,"2,000",87.3,90.2,89.2,88.14
Poa pratensis,"N,P",Forage,ton,2000,13.45,1.723,0.24,#DIV/0!,"2,000",,88.1,,86.55
Andropogon sp.,"N,P,K",Forage,ton,2000,60.35,1.346486804,0.146627566,1.348973607,"2,000",34.1,45.2,,39.65
Andropogon sp.,N,Forage,ton,2000,65.8,1.68,#DIV/0!,#DIV/0!,"2,000",,34.2,,34.2
Andropogon sp.,"N,P",Forage,ton,2000,29.6,#DIV/0!,0.13,#DIV/0!,"2,000",,70.4,,70.4
Andropogon sp.,"N,P,K",Forage,ton,2000,42.52,1.009433071,0.126948819,0.51,"2,000",50.8,61.1,59,57.48
Andropogon sp.,N,Forage,ton,2000,10.83,0.896267898,#DIV/0!,#DIV/0!,"2,000",86.6,90.9,,89.17
